year,count
1960,21
1961,11
1962,19
1963,14
1964,27
1965,32
1966,18
1967,29
1968,26
1969,37
1970,40
1971,41
1972,76
1973,86
1974,75
1975,131
1976,85
1977,128
1978,116
1979,155
1980,143
1981,177
1982,155
1983,152
1984,137
1985,171
1986,181
1987,182
1988,165
1989,168
1990,171
1991,209
1992,250
1993,218
1994,220
1995,267
1996,273
1997,276
1998,319
1999,357
2000,396
2001,421
2002,417
2003,403
2004,483
2005,537
2006,499
2007,515
2008,561
2009,609
2010,670
2011,707
2012,787
2013,815
2014,941
2015,1080
2016,1175
2017,1173
2018,1101
2019,821
