objectid,name,year
1206,Venture,1969
1520,Monad,1969
25314,Bowling Solitaire,1969
2232,Wu Hsing,1969
2510,Playboss,1969
5541,Barbarossa  The Russo-German War 1941-45,1969
17967,Origins of World War I,1969
5343,Hang on Harvey!,1969
4036,Anzio Beachhead,1969
1637,Situation 7,1969
11512,Leipzig,1969
21861,Three Musketeers,1969
5174,Lingua,1969
5000,Tuf-abet,1969
19916,Cups,1969
2116,Cartino,1969
1537,C&O\/B&O,1969
2517,Ulcers,1969
2303,Blast-Off!,1969
2573,Rivers,1969
6898,Toss Across,1969
8487,Ants in the Pants,1969
1774,Sale of the Century,1969
1838,The Who,1969
2208,The LogiQuad Game System,1969
2429,Barnabas Collins Dark Shadows Game,1969
3012,Group Therapy,1969
3173,The World of Wall Street,1969
3322,Soccerboss,1969
3962,Sum-Up,1969
3963,Tryce,1969
4083,Stack-Ominos,1969
4385,A Gamut of Games,1969
4973,Pay Cards!,1969
5126,Rolomatic Bridge,1969
2238,PanzerBlitz,1970
1498,Paydirt,1970
4831,NFL Strategy,1970
1591,Ploy,1970
2758,Bridgette,1970
5864,The Flight of the Goeben,1970
1501,Masterpiece\/Les Grands Ma\u00eetres,1970
31770,Joker Marbles,1970
7939,Vector,1970
12319,Quandary,1970
12160,APBA American Saddle Racing,1970
6944,The Battle of Moscow  The German Drive on Moscow,1970
23270,Paddle Pool,1970
1289,Take the Brain,1970
3325,Chartbuster,1970
2863,Nancy Greene's Great Downhill Ski Game,1970
6221,Caper,1970
5519,Air Charter,1970
4000,Scan,1970
15112,Subbuteo Rugby,1970
3951,Octrix,1970
5463,Mind Maze,1970
14591,Bushi,1970
5077,Chaos,1970
1099,Downspin,1970
14423,Husker Du?,1970
9912,Stacrobats,1970
2258,The Stock Market Game,1970
1613,Which Witch?,1970
3602,Kriegspiel,1970
8392,Buckaroo!,1970
1595,Tension,1970
2498,1-2-3 Go!,1970
3158,The Home Stretch,1970
3179,Action Test,1970
3521,Your America,1970
3709,Smog,1970
4515,Boundary,1970
4547,The Cities Game,1970
5147,Ad-Lib,1970
594,Sleuth,1971
1194,Speed Circuit,1971
3730,Statis Pro Baseball,1971
3573,Napoleon at Waterloo,1971
1726,Alexander the Great,1971
1518,Executive Decision,1971
2975,Origins of World War II,1971
865,Landslide,1971
18600,Ball Park Baseball,1971
8923,Orion,1971
8362,Strategy I,1971
8727,USN,1971
11469,Phalanx,1971
11127,Kursk  Operation Zitadelle,1971
11060,Normandy,1971
10783,The Official Dealer McDope Dealing Game,1971
7026,Grunt,1971
7948,Dark Ages,1971
3059,Two-Cushion Bumpershot,1971
1581,London Cabbie Game,1971
4239,Korea  The Mobile War 1950-51,1971
1735,Evade,1971
8360,Lost Battles,1971
3001,The Godfather Game,1971
3646,Luftwaffe,1971
8193,Chainmail,1971
2392,Mastermind,1971
8429,Combat Command,1971
3723,Peanut Butter & Jelly Card Game,1971
866,Lie,1971
1964,Campaign,1971
2816,Crossfire,1971
1428,Image,1971
2356,Scrabble Sentence Cube Game,1971
5232,Gnip Gnop,1971
2223,UNO,1971
2278,Transformation,1971
3019,Showdown Poker,1971
4652,Drug Attack,1971
5091,The Mother Goose Game,1971
5104,Yogi Bear Game,1971
1293,Scrabble Boggle,1972
85,Quebec 1759,1972
4079,What's My Word?,1972
4453,Statis Pro Basketball,1972
8798,Winter War,1972
4642,Sports Illustrated Baseball,1972
1711,Richthofen's War,1972
3874,Ultimate Mastermind,1972
252,Borodino,1972
4241,Soldiers,1972
835,Election X,1972
9077,La Grande Arm\u00e9e,1972
9961,Year of the Rat  Vietnam,1972
1620,Decline and Fall,1972
746,The Game of France,1972
20467,Conquest,1972
8736,Kasserine Pass,1972
4087,1812,1972
13269,Lee Moves North,1972
1434,Dealer's Choice,1972
8803,The American Revolution 1775-1783,1972
5276,Verdun  The Game of Attrition,1972
8944,Triple Yahtzee,1972
5052,Austerlitz  The Battle of Three Emperors,1972
8754,The Moscow Campaign,1972
2164,Square Off,1972
2040,Trippples,1972
1987,Emperor of China,1972
3812,Breakout & Pursuit,1972
8693,1918  Operation Michel \u2013 March 21-30,1972
5668,Mini Mastermind,1972
8363,Turning Point  The Battle of Stalingrad,1972
16617,The Wilderness Campaign  Lee vs. Grant,1972
2400,The Brotherhood,1972
5893,Haunted Mansion Game-Jeu,1972
1691,Whodunit,1972
1875,Isolation,1972
2942,Admirals,1972
11125,The Marne  Home Before the Leaves Fall,1972
13031,Canadian Monday Night Football,1972
8787,Armageddon  Tactical Combat 3000 to 500 B.C.,1972
10471,The Franco-Prussian War,1972
1665,Airport,1972
11456,Zilch,1972
2104,Speculate,1972
2417,Charge it!,1972
8788,Grenadier,1972
4969,Manhunt,1972
13072,Airways,1972
7031,Flying Circus,1972
14625,Stare! Junior Edition,1972
8725,Red Star \/ White Star,1972
4810,BattleBoard,1972
5742,Escape from Colditz Castle,1972
1414,Track Meet,1972
333,Waterworks,1972
2866,The London Game,1972
1435,4000 A.D. \/ L'AN 4000,1972
5662,Word Mastermind,1972
33112,War,1972
12996,Quips,1972
19811,Mix-max,1972
1969,Point Of Law,1972
1692,Spoons,1972
17250,Monopoly  London,1972
1511,Outdoor Survival,1972
1068,Ordino,1972
1639,Archie Bunker's Card Game,1972
1659,Beat Detroit,1972
1733,Jago,1972
1988,Outlaw Trail  The Western Game,1972
